Actual_G3,LR_Predicted,RF_Predicted
19,18.146495510356022,17.26
12,11.683474667647667,11.18
18,18.251361806947486,17.39
11,10.917185046912843,11.05
11,11.792849175086117,11.42
17,16.295026548717477,16.42
18,17.376928882550033,17.49
8,9.08212190667604,9.95
10,10.975501865533797,10.3
11,10.5473557366703,10.46
18,18.37435896786004,17.92
11,12.333046397123116,12.65
12,12.43884229036232,13.19
9,9.450829101219671,10.11
12,11.228470665257081,11.15
14,13.51148319188476,13.64
13,11.610700444673649,11.66
8,7.5470510407749165,7.88
15,15.680861684788056,15.9
14,14.898828476568836,14.97
15,15.306452251442344,15.24
13,13.824622719774519,13.36
13,14.02366913445784,13.6
13,12.542953593482602,12.89
16,15.132719905847399,15.46
13,13.035803453521089,13.35
8,8.268041083729702,8.36
12,11.48857156355771,11.34
10,11.287963439710921,11.23
15,15.386104959809856,15.71
16,16.121852710259304,16.42
12,13.376679860460696,13.48
9,7.924164779030155,8.17
8,6.44702668537318,5.14
18,18.099213733129233,17.44
16,15.581755953350584,15.72
14,13.923052618089402,14.35
15,15.341859040098564,14.83
14,13.096268300551083,13.04
11,11.180717184320569,10.59
13,13.432931024070804,13.44
10,10.81297953778395,10.4
8,8.441636949275814,6.9
11,11.7284775185475,11.32
14,13.093670528719777,13.18
12,13.296698946444623,12.78
18,17.68511948922754,17.69
12,11.268537207213438,11.94
14,12.382793121908772,12.64
12,11.666077627069784,11.06
10,10.827343561618992,10.95
11,11.438425937269127,11.1
14,14.189062207481303,15.07
11,9.82411843705917,10.09
11,10.592661328052774,11.45
18,17.895044686851595,17.65
10,9.253940792187901,9.52
11,10.696996027346753,11.3
11,11.539795943546265,10.77
10,10.297205777040151,10.62
10,8.647599638414304,9.55
11,11.141440372378199,11.13
16,16.214006781279206,16.49
14,12.444410783412497,13.1
17,15.415671686145888,15.37
15,16.027034367825518,15.74
11,10.013488170303015,10.08
10,8.262788258867987,9.12
0,9.711287599703741,10.3
10,9.448189768220896,9.86
16,16.159006646277664,15.33
15,15.69903559521363,15.11
12,12.19017397727818,12.45
16,16.382090531428037,16.3
13,13.637240613281412,13.22
12,13.346702967244692,13.35
13,12.654992392550115,12.93
15,15.732365873618413,15.32
13,12.668694321179531,12.58
14,13.51456565010281,12.82
11,11.641110461142759,10.66
12,11.27622081118283,11.63
17,17.86314364989215,16.77
8,7.821359338844317,7.84
12,12.433278360842715,13.01
17,18.72528005971796,17.65
11,12.140169840046001,11.05
9,8.636128400138634,6.16
15,15.043049586816881,15.3
13,12.211101204235886,13.34
14,15.826547693758288,15.64
9,9.25740604026883,9.3
11,11.50254103353301,11.4
18,18.838064395550713,17.73
9,9.228676273526744,10.03
15,14.616780218808465,15.11
16,15.555443662058412,15.67
10,9.399231578588132,9.54
12,12.851517193085588,12.71
10,9.843885448798677,9.71
12,12.238211609229104,12.16
11,11.508335556586037,10.58
10,11.59736172291417,11.18
11,12.10332051014177,11.17
13,12.927200156696125,12.75
10,10.07255578676014,10.39
11,10.716216872510826,11.01
11,11.594576705340728,11.17
10,9.150543095448405,9.73
13,13.141722032708957,13.14
13,13.713187749654491,13.36
11,8.409658459142705,8.86
11,11.710286397510515,11.3
10,10.81591796605363,11.19
8,5.533472392293314,6.09
11,9.55179675370372,9.88
11,11.308876137249165,10.27
16,16.232821463473442,16.48
16,15.62633618826652,15.94
10,8.807614675391028,8.5
14,13.438464183635253,13.05
0,0.23820531572640036,1.09
15,15.796450593587547,15.52
14,14.13814255098709,13.21
12,12.117786574413984,12.77
7,6.741251884042735,7.81
17,18.433501952297448,17.65
11,10.021940209394815,10.04
12,12.792711293393307,12.88
10,8.761813190628786,8.46
